scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result
"com.junitperf.demo.IntegrationTest",0,assertSlowAnswerText,0,"0d1dc033-067d-4e9d-9b52-b2d0fd8addde","2019-12-02T14:44:27.769914",116.0,"2019-12-02T14:44:27.886815",PASSED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"455d3dea-7d5b-4644-a681-d7c06e0d0449","2019-12-02T14:27:04.221114",44.0,"2019-12-02T14:27:04.265347",FAILED
"com.junitperf.demo.IntegrationTest",0,assertSlowAnswerText,0,"99c529d2-8736-4369-946c-f936a52746fd","2019-12-02T14:43:37.746977",114.0,"2019-12-02T14:43:37.861499",PASSED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"6f65d3f2-1075-45b8-bdf1-6b659b5061bb","2019-12-02T14:44:36.104099",12.0,"2019-12-02T14:44:36.116257",PASSED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"c89addd6-bdd4-4023-8bf7-db7726c35a39","2019-12-02T14:29:59.321904",10.0,"2019-12-02T14:29:59.332607",FAILED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"efc655d2-d433-4464-a5fb-f2ad40afd072","2019-12-02T14:45:51.133295",10.0,"2019-12-02T14:45:51.143562",PASSED
"com.junitperf.demo.IntegrationTest",0,assertSlowAnswerText,0,"192ca5a1-7477-4621-8a70-18362b634fad","2019-12-02T14:46:07.803135",111.0,"2019-12-02T14:46:07.914681",PASSED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"8c712b95-d148-479c-9044-a7b0d10a783b","2019-12-02T14:28:02.578548",10.0,"2019-12-02T14:28:02.589543",PASSED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"d92cb3c3-2bb1-414d-bb9b-367a86ab7d64","2019-12-02T14:27:54.244490",13.0,"2019-12-02T14:27:54.257616",FAILED
"com.junitperf.demo.IntegrationTest",0,assertSlowAnswerText,0,"5d7b8e82-3126-4774-aaa8-72dd902cee6b","2019-12-02T14:29:25.961515",115.0,"2019-12-02T14:29:26.076986",PASSED
"com.junitperf.demo.IntegrationTest",0,assertSlowAnswerText,0,"b8a0bf43-9b40-46d6-94ab-5b106f231fea","2019-12-02T14:45:42.794537",114.0,"2019-12-02T14:45:42.909474",PASSED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"f67dda1b-d677-4684-91a4-521891f580f0","2019-12-02T14:45:34.455648",9.0,"2019-12-02T14:45:34.465201",PASSED
"com.junitperf.demo.IntegrationTest",0,assertSlowAnswerText,0,"558aff46-d38d-4e54-bf06-802167e2be91","2019-12-02T14:28:35.925723",115.0,"2019-12-02T14:28:36.041557",PASSED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"e08519ab-b5d4-42a0-90e1-b899c9363ade","2019-12-02T14:30:57.694112",9.0,"2019-12-02T14:30:57.703966",PASSED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"a05230ac-e032-4307-84d8-4a713a0cd266","2019-12-02T14:30:32.677478",8.0,"2019-12-02T14:30:32.686365",PASSED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"cc0a228e-2fe3-4003-ba7d-2a1f7dfdec7f","2019-12-02T14:29:42.645358",9.0,"2019-12-02T14:29:42.655142",PASSED
"com.junitperf.demo.IntegrationTest",0,assertSlowAnswerText,0,"2526be67-dcdf-4aef-9adb-7c899e7a0c3f","2019-12-02T14:42:47.749945",4149.0,"2019-12-02T14:42:51.899356",PASSED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"7fabc590-2582-4362-8b65-a6e45ad7a485","2019-12-02T14:43:54.423076",10.0,"2019-12-02T14:43:54.433982",PASSED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"c64478b6-dc4c-4c45-ad62-fa663b2736c5","2019-12-02T14:29:09.282943",10.0,"2019-12-02T14:29:09.293651",FAILED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"8c6b0e37-1e32-4f24-9911-8c1a7055eb71","2019-12-02T14:45:26.121961",10.0,"2019-12-02T14:45:26.132620",PASSED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"344c28f4-2239-4652-b29e-6ae332de6bb3","2019-12-02T14:28:27.588561",20.0,"2019-12-02T14:28:27.608762",PASSED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"28a09659-c240-4f5e-931a-b59f366a5b91","2019-12-02T14:44:44.440479",10.0,"2019-12-02T14:44:44.450845",PASSED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"85a19bc8-f78a-4b54-a968-3b7a69844c24","2019-12-02T14:45:09.453714",11.0,"2019-12-02T14:45:09.464753",PASSED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"94de0e53-ebf2-4a40-8cfc-d6a7ee04b50f","2019-12-02T14:29:34.304709",10.0,"2019-12-02T14:29:34.315241",FAILED
"com.junitperf.demo.IntegrationTest",0,assertQuickAnswerText,0,"7682f93b-8439-4f51-a93b-5337cda43544","2019-12-02T14:46:24.475975",9.0,"2019-12-02T14:46:24.485646",PASSED
"com.junitperf.demo.IntegrationTest",0,assertSlowAnswerText,0,"b2321e69-5d84-448b-8185-5f6c2311213a","2019-12-02T14:30:16.001330",112.0,"2019-12-02T14:30:16.114015",PASSED
"com.junitperf.demo.IntegrationTest",0,assertSlowAnswerText,0,"64cbbf7a-2c27-43c2-b262-0e36d5088163","2019-12-02T14:46:32.812929",115.0,"2019-12-02T14:46:32.928207",PASSED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"53fcc249-2e4b-48b5-b976-8fcfa3dc4e7a","2019-12-02T14:45:01.115123",12.0,"2019-12-02T14:45:01.127806",PASSED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"441dac4d-1c7b-4ff1-b02d-98e61e7c81a2","2019-12-02T14:30:49.354400",10.0,"2019-12-02T14:30:49.364824",FAILED
"com.junitperf.demo.IntegrationTest",0,failedTest,0,"9f4cb7ac-a171-49a2-8f28-705b4914be93","2019-12-02T14:43:46.083605",11.0,"2019-12-02T14:43:46.095458",PASSED
